年份,总产值/万亿元,资金/万亿元,劳动力/亿人
1984,0.7171,0.091,4.8179
1985,0.8964,0.2543,4.9873
1986,1.0202,0.3121,5.1282
1987,1.1962,0.3792,5.2783
1988,1.4928,0.4754,5.4334
1989,1.6909,0.441,5.5329
1990,1.8548,0.4517,6.4749
1991,2.1618,0.5595,6.5491
1992,2.6638,0.808,6.6152
1993,3.4634,1.3072,6.6808
1994,4.6759,1.7042,6.7455
1995,5.8478,2.0019,6.8065
1996,6.7885,2.2914,6.895
1997,7.4463,2.4941,6.982
1998,7.8345,2.8406,7.0637
1999,8.2068,2.9854,7.1394
2000,9.9468,3.2918,7.2085
2001,9.7315,3.7314,7.3025
2002,10.4791,4.35,7.374
